council,randage,ethnicity,simd,urban_rural,household_type,gender,tenure,greenspace,neighbourhood_rating,community_belonging
A,74,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Very strongly
A,56,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,80,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,38,White,3,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Very strongly
A,77,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,75,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,76,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Very strongly
B,61,White,4,Rural,Adult,Male,Owned Loan/Mortgage,More than 30,Very good,Very strongly
B,44,White,4,Rural,Children,Female,Owned Outright,21-30 mins,Very good,Very strongly
A,86,White,3,Urban,Pensioner,Male,Social Rented,6-10 mins,Very good,Fairly strongly
A,56,White,4,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
A,46,White,4,Urban,Children,Male,Owned Outright,11-20 mins,Very good,Fairly strongly
B,37,White,4,Rural,Adult,Male,Social Rented,21-30 mins,Very good,Not very strongly
A,51,Other,1,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,29,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,57,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Not very strongly
A,24,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,59,White,4,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Fairly good,Not very strongly
A,27,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,33,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
A,27,White,4,Urban,Adult,Female,Social Rented,21-30 mins,Fairly good,Fairly strongly
A,30,White,2,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,27,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,55,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Very strongly
A,21,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
A,28,White,4,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
A,26,White,3,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
A,28,White,4,Urban,Adult,Male,Social Rented,6-10 mins,Fairly good,Not at all strongly
A,33,Other,3,Urban,Adult,Male,Social Rented,11-20 mins,Very good,Very strongly
A,73,White,3,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,78,White,4,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
A,34,Other,4,Urban,Children,Male,Social Rented,5 mins or less,Very good,Very strongly
A,30,White,4,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Not very strongly
A,26,White,2,Urban,Children,Female,Owned Outright,11-20 mins,Fairly poor,Not very strongly
A,86,White,2,Urban,Pensioner,Female,Social Rented,More than 30,Fairly good,Fairly strongly
A,43,White,1,Urban,Adult,Male,Social Rented,5 mins or less,Fairly poor,Not very strongly
A,34,White,1,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly poor,Not very strongly
A,32,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,24,White,2,Urban,Children,Female,Social Rented,11-20 mins,Fairly poor,Fairly strongly
A,16,White,2,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Fairly strongly
A,26,White,1,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,34,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,51,White,1,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly poor,Not very strongly
A,42,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not at all strongly
A,29,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,30,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,33,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
A,28,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,40,White,1,Urban,Adult,Female,Social Rented,11-20 mins,Fairly poor,Not very strongly
A,28,White,2,Urban,Children,Male,Owned Outright,11-20 mins,Fairly good,Very strongly
A,73,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
A,86,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Not very strongly
A,77,White,2,Urban,Pensioner,Male,Social Rented,6-10 mins,Very good,Very strongly
A,74,White,3,Urban,Adult,Male,Owned Loan/Mortgage,More than 30,Very good,Fairly strongly
A,71,White,3,Urban,Pensioner,Male,Social Rented,More than 30,Fairly good,Not very strongly
A,37,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,35,White,3,Urban,Adult,Female,Social Rented,21-30 mins,Very good,Not very strongly
A,81,White,2,Urban,Pensioner,Male,Social Rented,11-20 mins,Fairly poor,Not very strongly
A,36,White,1,Urban,Children,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
A,57,Other,2,Urban,Adult,Female,Owned Outright,6-10 mins,Fairly good,Not very strongly
A,36,White,2,Urban,Children,Male,Social Rented,11-20 mins,Fairly good,Not very strongly
A,24,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not at all strongly
A,33,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
A,31,White,4,Urban,Adult,Female,Owned Outright,21-30 mins,Fairly good,Fairly strongly
A,17,Other,3,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Don't know
A,39,Other,4,Urban,Adult,Male,Owned Outright,11-20 mins,Fairly good,Fairly strongly
A,20,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,86,White,2,Urban,Pensioner,Male,Social Rented,11-20 mins,Very good,Not very strongly
A,35,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
A,48,White,3,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Very strongly
A,33,White,2,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Not at all strongly
A,32,White,3,Urban,Adult,Female,Owned Outright,6-10 mins,Very good,Not at all strongly
A,56,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
A,50,White,4,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
A,59,White,2,Urban,Adult,Female,Social Rented,21-30 mins,Fairly good,Not at all strongly
A,25,White,4,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,33,White,3,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Not very strongly
A,23,White,3,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Not at all strongly
A,36,Other,5,Urban,Children,Female,Social Rented,5 mins or less,Very good,Not at all strongly
A,29,Other,3,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,46,White,3,Urban,Adult,Male,Social Rented,6-10 mins,Fairly poor,Not at all strongly
A,47,White,3,Urban,Adult,Female,Social Rented,11-20 mins,Fairly poor,Not at all strongly
A,37,White,1,Urban,Adult,Male,Social Rented,11-20 mins,Fairly poor,Not at all strongly
A,22,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not very strongly
A,56,White,1,Urban,Adult,Male,Social Rented,21-30 mins,Very good,Not very strongly
A,26,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Not at all strongly
A,30,White,3,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
A,31,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,19,Other,3,Urban,Adult,Male,Social Rented,11-20 mins,Fairly poor,Not at all strongly
A,21,White,5,Urban,Adult,Female,Social Rented,Don't know,No opinion,Not at all strongly
A,62,White,4,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Not at all strongly
A,28,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Very strongly
A,30,White,1,Urban,Children,Female,Social Rented,6-10 mins,Very good,Not very strongly
A,75,White,1,Urban,Pensioner,Female,Social Rented,21-30 mins,Fairly good,Fairly strongly
A,34,White,1,Urban,Children,Female,Social Rented,21-30 mins,Fairly good,Not very strongly
A,30,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
A,72,White,1,Urban,Adult,Male,Social Rented,6-10 mins,Fairly good,Fairly strongly
A,79,White,1,Urban,Pensioner,Male,Social Rented,More than 30,Very poor,Not at all strongly
A,46,White,1,Urban,Adult,Female,Social Rented,Don't know,Very poor,Not very strongly
A,54,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly poor,Fairly strongly
A,78,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
A,71,White,4,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Very good,Not at all strongly
A,31,Other,2,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,32,White,1,Urban,Adult,Female,Social Rented,11-20 mins,Fairly poor,Not at all strongly
A,74,White,2,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
A,83,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,More than 30,Very good,Very strongly
A,60,White,2,Urban,Adult,Male,Social Rented,21-30 mins,Fairly poor,Not very strongly
A,33,White,2,Urban,Adult,Male,Social Rented,11-20 mins,Fairly poor,Not very strongly
A,71,White,4,Urban,Pensioner,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
A,21,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,45,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not very strongly
A,27,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
A,48,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
A,43,Other,2,Urban,Children,Male,Social Rented,6-10 mins,Fairly poor,Not very strongly
A,22,Other,5,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Not at all strongly
A,24,Other,5,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Very strongly
A,25,White,3,Urban,Adult,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
A,34,White,5,Urban,Children,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
A,46,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
A,68,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,27,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,30,Other,2,Urban,Children,Female,Owned Outright,5 mins or less,Fairly poor,Fairly strongly
A,45,White,1,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,70,White,1,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,35,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not at all strongly
A,70,White,2,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,36,Other,2,Urban,Children,Female,Owned Outright,6-10 mins,Fairly good,Fairly strongly
A,47,White,3,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
A,64,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Very strongly
A,75,White,3,Urban,Adult,Female,Owned Loan/Mortgage,More than 30,Very good,Very strongly
A,69,White,5,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
A,67,White,5,Urban,Adult,Male,Owned Loan/Mortgage,More than 30,Very good,Not very strongly
A,59,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
A,69,White,3,Urban,Pensioner,Male,Owned Loan/Mortgage,6-10 mins,Fairly good,Very strongly
A,82,White,3,Urban,Pensioner,Female,Social Rented,More than 30,Very good,Very strongly
A,73,White,2,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
A,54,White,5,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not at all strongly
A,18,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,29,White,5,Urban,Adult,Male,Social Rented,21-30 mins,Fairly good,Not at all strongly
A,50,White,5,Urban,Children,Female,Owned Outright,21-30 mins,Very good,Very strongly
A,49,White,5,Urban,Children,Male,Owned Outright,11-20 mins,Very good,Fairly strongly
A,58,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Not very strongly
A,40,White,5,Urban,Children,Male,Owned Outright,6-10 mins,Very good,Not at all strongly
A,53,White,5,Urban,Adult,Male,Private Rented,6-10 mins,Very good,Not very strongly
A,51,White,5,Urban,Children,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
A,70,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Very strongly
A,55,White,4,Urban,Adult,Female,Owned Outright,11-20 mins,Very good,Not very strongly
A,57,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,36,White,5,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not very strongly
A,38,White,4,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
A,21,White,4,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
A,22,White,5,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Not very strongly
A,77,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,29,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
A,67,White,3,Urban,Adult,Male,Social Rented,11-20 mins,Very good,Very strongly
A,29,White,2,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Not very strongly
A,78,White,3,Urban,Pensioner,Female,Social Rented,6-10 mins,Very good,Fairly strongly
A,52,White,2,Urban,Children,Male,Social Rented,6-10 mins,Fairly good,Fairly strongly
A,74,White,2,Urban,Pensioner,Female,Social Rented,More than 30,Fairly good,Fairly strongly
A,36,White,1,Urban,Children,Male,Owned Outright,6-10 mins,Fairly good,Fairly strongly
A,49,White,1,Urban,Adult,Female,Social Rented,6-10 mins,Very poor,Not at all strongly
A,44,White,3,Urban,Adult,Male,Social Rented,Don't know,Fairly good,Fairly strongly
A,53,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
A,24,White,2,Urban,Children,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Not very strongly
A,28,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,75,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,21,White,1,Urban,Adult,Female,Social Rented,11-20 mins,Fairly good,Fairly strongly
A,35,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,64,White,2,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,21,White,4,Urban,Adult,Female,Social Rented,11-20 mins,Fairly good,Not very strongly
A,77,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
A,60,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,34,White,5,Urban,Children,Male,Social Rented,6-10 mins,Very good,Not very strongly
A,31,Other,5,Urban,Children,Female,Social Rented,11-20 mins,Fairly good,Fairly strongly
A,33,White,5,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Not very strongly
A,30,White,5,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
A,32,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Not very strongly
A,70,White,5,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
A,17,White,5,Urban,Adult,Female,Social Rented,11-20 mins,Fairly good,Not at all strongly
A,25,White,4,Urban,Adult,Male,Social Rented,11-20 mins,Fairly good,Not very strongly
A,65,White,4,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
A,54,White,5,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Fairly strongly
A,23,White,5,Urban,Adult,Male,Owned Outright,6-10 mins,Very good,Not very strongly
A,51,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
A,81,White,5,Urban,Pensioner,Male,Social Rented,5 mins or less,Very good,Fairly strongly
A,71,White,5,Urban,Adult,Male,Owned Loan/Mortgage,21-30 mins,Fairly good,Very strongly
A,24,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Fairly strongly
A,74,Other,3,Urban,Pensioner,Female,Social Rented,21-30 mins,Fairly good,Fairly strongly
A,44,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Not very strongly
A,35,Other,5,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
A,86,White,3,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
A,19,White,3,Urban,Children,Male,Social Rented,11-20 mins,Fairly good,Fairly strongly
A,80,White,3,Urban,Pensioner,Male,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
A,75,White,3,Urban,Pensioner,Female,Owned Loan/Mortgage,21-30 mins,Fairly good,Very strongly
A,86,White,4,Urban,Adult,Male,Owned Loan/Mortgage,21-30 mins,Very good,Very strongly
A,37,White,4,Urban,Children,Male,Owned Outright,11-20 mins,Very good,Not at all strongly
A,65,White,4,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
A,73,White,2,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
A,42,White,2,Urban,Adult,Female,Owned Outright,21-30 mins,Fairly good,Not at all strongly
A,31,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Very strongly
A,86,White,3,Urban,Pensioner,Female,Social Rented,6-10 mins,Very good,Not very strongly
A,56,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,51,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Very strongly
A,53,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,68,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
A,75,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,64,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,31,Other,3,Urban,Adult,Male,Owned Outright,11-20 mins,Very good,Not at all strongly
A,37,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Not at all strongly
A,65,White,5,Urban,Adult,Female,Owned Outright,21-30 mins,Fairly good,Fairly strongly
A,71,White,5,Urban,Adult,Female,Social Rented,More than 30,Fairly good,Not very strongly
A,82,White,5,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
A,78,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
A,77,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,More than 30,Very good,Very strongly
A,66,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
A,33,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
A,39,White,5,Urban,Children,Male,Owned Outright,6-10 mins,Very good,Fairly strongly
A,69,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,80,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Not very strongly
A,70,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,82,White,5,Urban,Adult,Female,Owned Loan/Mortgage,21-30 mins,Very good,Very strongly
A,47,White,5,Urban,Children,Male,Owned Outright,21-30 mins,Fairly good,Not very strongly
A,60,Other,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
A,21,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
A,47,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Very strongly
A,36,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
A,49,White,2,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
A,55,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,68,White,2,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
A,64,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Very strongly
A,21,White,2,Urban,Children,Female,Owned Outright,6-10 mins,Fairly good,Fairly strongly
A,34,White,2,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
A,81,White,2,Urban,Pensioner,Female,Social Rented,5 mins or less,Very good,Very strongly
A,58,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,55,White,2,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Not very strongly
A,50,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Very poor,Not at all strongly
A,45,White,4,Urban,Children,Female,Owned Loan/Mortgage,6-10 mins,Very good,Not very strongly
A,58,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,67,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Not very strongly
A,32,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
A,23,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Don't know
A,77,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
A,69,White,4,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
A,65,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
A,85,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
A,69,White,5,Urban,Pensioner,Male,Owned Loan/Mortgage,11-20 mins,Fairly good,Not very strongly
A,46,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
A,71,White,4,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
A,48,White,4,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
A,27,White,4,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
A,34,White,4,Urban,Adult,Male,Social Rented,6-10 mins,Very good,Not at all strongly
A,74,White,3,Urban,Pensioner,Male,Social Rented,6-10 mins,Fairly good,Very strongly
A,76,Other,3,Urban,Pensioner,Female,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
A,59,White,2,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
A,39,White,3,Urban,Children,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
A,69,White,2,Urban,Pensioner,Female,Owned Loan/Mortgage,More than 30,Fairly good,Fairly strongly
A,74,White,4,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
A,33,White,3,Urban,Adult,Female,Owned Outright,21-30 mins,Very good,Not very strongly
A,82,White,3,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
A,42,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Fairly strongly
A,30,White,4,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Not very strongly
A,39,Other,2,Urban,Children,Female,Owned Outright,11-20 mins,Fairly good,Fairly strongly
A,35,White,5,Urban,Children,Male,Social Rented,5 mins or less,Very good,Very strongly
A,64,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
A,73,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
A,56,White,5,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
A,67,White,5,Urban,Adult,Male,Owned Loan/Mortgage,21-30 mins,Very good,Fairly strongly
