council,randage,ethnicity,simd,urban_rural,household_type,gender,tenure,greenspace,neighbourhood_rating,community_belonging
Aberdeen City,51,White,1,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly poor,Not very strongly
Aberdeen City,42,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not at all strongly
Aberdeen City,29,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,30,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,33,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
Aberdeen City,28,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,40,White,1,Urban,Adult,Female,Social Rented,11-20 mins,Fairly poor,Not very strongly
Aberdeen City,28,White,2,Urban,Children,Male,Owned Outright,11-20 mins,Fairly good,Very strongly
Aberdeen City,73,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Very strongly
Aberdeen City,86,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Not very strongly
Aberdeen City,77,White,2,Urban,Pensioner,Male,Social Rented,6-10 mins,Very good,Very strongly
Aberdeen City,74,White,3,Urban,Adult,Male,Owned Loan/Mortgage,More than 30,Very good,Fairly strongly
Aberdeen City,71,White,3,Urban,Pensioner,Male,Social Rented,More than 30,Fairly good,Not very strongly
Aberdeen City,37,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,35,White,3,Urban,Adult,Female,Social Rented,21-30 mins,Very good,Not very strongly
Aberdeen City,81,White,2,Urban,Pensioner,Male,Social Rented,11-20 mins,Fairly poor,Not very strongly
Aberdeen City,36,White,1,Urban,Children,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
Aberdeen City,57,Other,2,Urban,Adult,Female,Owned Outright,6-10 mins,Fairly good,Not very strongly
Aberdeen City,36,White,2,Urban,Children,Male,Social Rented,11-20 mins,Fairly good,Not very strongly
Aberdeen City,24,White,4,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not at all strongly
Aberdeen City,33,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,31,White,4,Urban,Adult,Female,Owned Outright,21-30 mins,Fairly good,Fairly strongly
Aberdeen City,17,Other,3,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Don't know
Aberdeen City,39,Other,4,Urban,Adult,Male,Owned Outright,11-20 mins,Fairly good,Fairly strongly
Aberdeen City,20,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,86,White,2,Urban,Pensioner,Male,Social Rented,11-20 mins,Very good,Not very strongly
Aberdeen City,35,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,48,White,3,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Very strongly
Aberdeen City,33,White,2,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Not at all strongly
Aberdeen City,32,White,3,Urban,Adult,Female,Owned Outright,6-10 mins,Very good,Not at all strongly
Aberdeen City,56,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Fairly strongly
Aberdeen City,50,White,4,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
Aberdeen City,59,White,2,Urban,Adult,Female,Social Rented,21-30 mins,Fairly good,Not at all strongly
Aberdeen City,25,White,4,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,33,White,3,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Not very strongly
Aberdeen City,23,White,3,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Not at all strongly
Aberdeen City,36,Other,5,Urban,Children,Female,Social Rented,5 mins or less,Very good,Not at all strongly
Aberdeen City,29,Other,3,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,46,White,3,Urban,Adult,Male,Social Rented,6-10 mins,Fairly poor,Not at all strongly
Aberdeen City,47,White,3,Urban,Adult,Female,Social Rented,11-20 mins,Fairly poor,Not at all strongly
Aberdeen City,37,White,1,Urban,Adult,Male,Social Rented,11-20 mins,Fairly poor,Not at all strongly
Aberdeen City,22,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not very strongly
Aberdeen City,56,White,1,Urban,Adult,Male,Social Rented,21-30 mins,Very good,Not very strongly
Aberdeen City,26,White,3,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Not at all strongly
Aberdeen City,30,White,3,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
Aberdeen City,31,White,3,Urban,Adult,Male,Owned Outright,5 mins or less,Fairly good,Not very strongly
Aberdeen City,19,Other,3,Urban,Adult,Male,Social Rented,11-20 mins,Fairly poor,Not at all strongly
Aberdeen City,21,White,5,Urban,Adult,Female,Social Rented,Don't know,No opinion,Not at all strongly
Aberdeen City,62,White,4,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Not at all strongly
Aberdeen City,28,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Very strongly
Aberdeen City,30,White,1,Urban,Children,Female,Social Rented,6-10 mins,Very good,Not very strongly
Aberdeen City,75,White,1,Urban,Pensioner,Female,Social Rented,21-30 mins,Fairly good,Fairly strongly
Aberdeen City,34,White,1,Urban,Children,Female,Social Rented,21-30 mins,Fairly good,Not very strongly
Aberdeen City,30,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,72,White,1,Urban,Adult,Male,Social Rented,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,79,White,1,Urban,Pensioner,Male,Social Rented,More than 30,Very poor,Not at all strongly
Aberdeen City,46,White,1,Urban,Adult,Female,Social Rented,Don't know,Very poor,Not very strongly
Aberdeen City,54,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly poor,Fairly strongly
Aberdeen City,78,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
Aberdeen City,71,White,4,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Very good,Not at all strongly
Aberdeen City,31,Other,2,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
Aberdeen City,32,White,1,Urban,Adult,Female,Social Rented,11-20 mins,Fairly poor,Not at all strongly
Aberdeen City,74,White,2,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,83,White,2,Urban,Pensioner,Male,Owned Loan/Mortgage,More than 30,Very good,Very strongly
Aberdeen City,60,White,2,Urban,Adult,Male,Social Rented,21-30 mins,Fairly poor,Not very strongly
Aberdeen City,33,White,2,Urban,Adult,Male,Social Rented,11-20 mins,Fairly poor,Not very strongly
Aberdeen City,71,White,4,Urban,Pensioner,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
Aberdeen City,21,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,45,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not very strongly
Aberdeen City,27,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,48,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Not very strongly
Aberdeen City,43,Other,2,Urban,Children,Male,Social Rented,6-10 mins,Fairly poor,Not very strongly
Aberdeen City,22,Other,5,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Not at all strongly
Aberdeen City,24,Other,5,Urban,Adult,Male,Social Rented,5 mins or less,Very good,Very strongly
Aberdeen City,25,White,3,Urban,Adult,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
Aberdeen City,34,White,5,Urban,Children,Male,Social Rented,6-10 mins,Fairly good,Not very strongly
Aberdeen City,46,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
Aberdeen City,68,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
Aberdeen City,27,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,30,Other,2,Urban,Children,Female,Owned Outright,5 mins or less,Fairly poor,Fairly strongly
Aberdeen City,45,White,1,Urban,Adult,Female,Owned Outright,5 mins or less,Fairly good,Not very strongly
Aberdeen City,70,White,1,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
Aberdeen City,35,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Not at all strongly
Aberdeen City,70,White,2,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,36,Other,2,Urban,Children,Female,Owned Outright,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,47,White,3,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,64,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Very strongly
Aberdeen City,75,White,3,Urban,Adult,Female,Owned Loan/Mortgage,More than 30,Very good,Very strongly
Aberdeen City,69,White,5,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
Aberdeen City,67,White,5,Urban,Adult,Male,Owned Loan/Mortgage,More than 30,Very good,Not very strongly
Aberdeen City,59,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,69,White,3,Urban,Pensioner,Male,Owned Loan/Mortgage,6-10 mins,Fairly good,Very strongly
Aberdeen City,82,White,3,Urban,Pensioner,Female,Social Rented,More than 30,Very good,Very strongly
Aberdeen City,73,White,2,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,54,White,5,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not at all strongly
Aberdeen City,18,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,29,White,5,Urban,Adult,Male,Social Rented,21-30 mins,Fairly good,Not at all strongly
Aberdeen City,50,White,5,Urban,Children,Female,Owned Outright,21-30 mins,Very good,Very strongly
Aberdeen City,49,White,5,Urban,Children,Male,Owned Outright,11-20 mins,Very good,Fairly strongly
Aberdeen City,58,White,5,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Not very strongly
Aberdeen City,40,White,5,Urban,Children,Male,Owned Outright,6-10 mins,Very good,Not at all strongly
Aberdeen City,53,White,5,Urban,Adult,Male,Private Rented,6-10 mins,Very good,Not very strongly
Aberdeen City,51,White,5,Urban,Children,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
Aberdeen City,70,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Very strongly
Aberdeen City,55,White,4,Urban,Adult,Female,Owned Outright,11-20 mins,Very good,Not very strongly
Aberdeen City,57,White,5,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,36,White,5,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Not very strongly
Aberdeen City,38,White,4,Urban,Children,Female,Owned Outright,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,21,White,4,Urban,Children,Male,Owned Outright,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,22,White,5,Urban,Adult,Female,Social Rented,6-10 mins,Fairly good,Not very strongly
Aberdeen City,77,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
Aberdeen City,29,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
Aberdeen City,67,White,3,Urban,Adult,Male,Social Rented,11-20 mins,Very good,Very strongly
Aberdeen City,29,White,2,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Not very strongly
Aberdeen City,78,White,3,Urban,Pensioner,Female,Social Rented,6-10 mins,Very good,Fairly strongly
Aberdeen City,52,White,2,Urban,Children,Male,Social Rented,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,74,White,2,Urban,Pensioner,Female,Social Rented,More than 30,Fairly good,Fairly strongly
Aberdeen City,36,White,1,Urban,Children,Male,Owned Outright,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,49,White,1,Urban,Adult,Female,Social Rented,6-10 mins,Very poor,Not at all strongly
Aberdeen City,44,White,3,Urban,Adult,Male,Social Rented,Don't know,Fairly good,Fairly strongly
Aberdeen City,53,White,1,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,24,White,2,Urban,Children,Female,Owned Loan/Mortgage,6-10 mins,Fairly good,Not very strongly
Aberdeen City,28,White,2,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,75,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
Aberdeen City,21,White,1,Urban,Adult,Female,Social Rented,11-20 mins,Fairly good,Fairly strongly
Aberdeen City,35,White,1,Urban,Children,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,64,White,2,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
Aberdeen City,21,White,4,Urban,Adult,Female,Social Rented,11-20 mins,Fairly good,Not very strongly
Aberdeen City,77,White,4,Urban,Pensioner,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
Aberdeen City,60,White,4,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,34,White,5,Urban,Children,Male,Social Rented,6-10 mins,Very good,Not very strongly
Aberdeen City,31,Other,5,Urban,Children,Female,Social Rented,11-20 mins,Fairly good,Fairly strongly
Aberdeen City,33,White,5,Urban,Adult,Female,Social Rented,6-10 mins,Very good,Not very strongly
Aberdeen City,30,White,5,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
Aberdeen City,32,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Not very strongly
Aberdeen City,70,White,5,Urban,Adult,Male,Owned Loan/Mortgage,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,17,White,5,Urban,Adult,Female,Social Rented,11-20 mins,Fairly good,Not at all strongly
Aberdeen City,25,White,4,Urban,Adult,Male,Social Rented,11-20 mins,Fairly good,Not very strongly
Aberdeen City,65,White,4,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
Aberdeen City,54,White,5,Urban,Adult,Male,Owned Outright,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,23,White,5,Urban,Adult,Male,Owned Outright,6-10 mins,Very good,Not very strongly
Aberdeen City,51,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
Aberdeen City,81,White,5,Urban,Pensioner,Male,Social Rented,5 mins or less,Very good,Fairly strongly
Aberdeen City,71,White,5,Urban,Adult,Male,Owned Loan/Mortgage,21-30 mins,Fairly good,Very strongly
Aberdeen City,24,White,3,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Fairly strongly
Aberdeen City,74,Other,3,Urban,Pensioner,Female,Social Rented,21-30 mins,Fairly good,Fairly strongly
Aberdeen City,44,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Not very strongly
Aberdeen City,35,Other,5,Urban,Children,Male,Social Rented,5 mins or less,Fairly good,Not very strongly
Aberdeen City,86,White,3,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Very good,Very strongly
Aberdeen City,19,White,3,Urban,Children,Male,Social Rented,11-20 mins,Fairly good,Fairly strongly
Aberdeen City,80,White,3,Urban,Pensioner,Male,Owned Loan/Mortgage,11-20 mins,Fairly good,Very strongly
Aberdeen City,75,White,3,Urban,Pensioner,Female,Owned Loan/Mortgage,21-30 mins,Fairly good,Very strongly
Aberdeen City,86,White,4,Urban,Adult,Male,Owned Loan/Mortgage,21-30 mins,Very good,Very strongly
Aberdeen City,37,White,4,Urban,Children,Male,Owned Outright,11-20 mins,Very good,Not at all strongly
Aberdeen City,65,White,4,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
Aberdeen City,73,White,2,Urban,Adult,Female,Owned Loan/Mortgage,11-20 mins,Fairly good,Fairly strongly
Aberdeen City,42,White,2,Urban,Adult,Female,Owned Outright,21-30 mins,Fairly good,Not at all strongly
Aberdeen City,31,White,5,Urban,Children,Male,Owned Outright,5 mins or less,Very good,Very strongly
Aberdeen City,86,White,3,Urban,Pensioner,Female,Social Rented,6-10 mins,Very good,Not very strongly
Aberdeen City,56,White,2,Urban,Adult,Male,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,51,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Very strongly
Aberdeen City,53,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
Aberdeen City,68,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,6-10 mins,Very good,Fairly strongly
Aberdeen City,75,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
Aberdeen City,64,White,3,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
Aberdeen City,31,Other,3,Urban,Adult,Male,Owned Outright,11-20 mins,Very good,Not at all strongly
Aberdeen City,37,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Not at all strongly
Aberdeen City,65,White,5,Urban,Adult,Female,Owned Outright,21-30 mins,Fairly good,Fairly strongly
Aberdeen City,71,White,5,Urban,Adult,Female,Social Rented,More than 30,Fairly good,Not very strongly
Aberdeen City,82,White,5,Urban,Adult,Male,Owned Loan/Mortgage,11-20 mins,Very good,Fairly strongly
Aberdeen City,78,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
Aberdeen City,77,White,5,Urban,Pensioner,Female,Owned Loan/Mortgage,More than 30,Very good,Very strongly
Aberdeen City,66,White,5,Urban,Adult,Female,Owned Loan/Mortgage,6-10 mins,Very good,Very strongly
Aberdeen City,33,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
Aberdeen City,39,White,5,Urban,Children,Male,Owned Outright,6-10 mins,Very good,Fairly strongly
Aberdeen City,69,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,80,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Not very strongly
Aberdeen City,70,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
Aberdeen City,82,White,5,Urban,Adult,Female,Owned Loan/Mortgage,21-30 mins,Very good,Very strongly
Aberdeen City,47,White,5,Urban,Children,Male,Owned Outright,21-30 mins,Fairly good,Not very strongly
Aberdeen City,60,Other,2,Urban,Adult,Female,Social Rented,5 mins or less,Fairly good,Fairly strongly
Aberdeen City,21,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
Aberdeen City,47,White,5,Urban,Children,Female,Owned Outright,5 mins or less,Very good,Very strongly
Aberdeen City,36,White,5,Urban,Adult,Female,Owned Outright,5 mins or less,Very good,Fairly strongly
Aberdeen City,49,White,2,Urban,Adult,Male,Owned Outright,5 mins or less,Very good,Very strongly
Aberdeen City,55,White,5,Urban,Adult,Male,Owned Loan/Mortgage,5 mins or less,Very good,Fairly strongly
Aberdeen City,68,White,2,Urban,Adult,Female,Social Rented,11-20 mins,Very good,Fairly strongly
Aberdeen City,64,White,2,Urban,Adult,Female,Social Rented,5 mins or less,Very good,Very strongly
Aberdeen City,21,White,2,Urban,Children,Female,Owned Outright,6-10 mins,Fairly good,Fairly strongly
Aberdeen City,34,White,2,Urban,Children,Female,Social Rented,5 mins or less,Very good,Fairly strongly
Aberdeen City,81,White,2,Urban,Pensioner,Female,Social Rented,5 mins or less,Very good,Very strongly
Aberdeen City,58,White,2,Urban,Adult,Female,Owned Loan/Mortgage,5 mins or less,Very good,Very strongly
